170,いく,行く,to go,3
171,かえる,帰る,to go back; to return,3
172,きく,聞く,to listen; to hear,3
173,のむ,飲む,to drink,3
174,はなす,話す,to speak; to talk,3
175,よむ,読む,to read,3
176,おきる,起きる,to get up,3
177,たべる,食べる,to eat,3
178,ねる,寝る,to sleep; to go to sleep,3
179,みる,見る,to see; to look at; to watch,3
180,くる,来る,to come,3
181,する,,to do,3
182,べんきょうする,勉強する,to study,3
183,いい,,good,3
184,はやい,早い,early,3
185,あまり+ negative,,not much,3
186,ぜんぜん + negative,全然,not at all,3
187,たいてい,大抵,usually,3
188,ちょっと,,a little,3
189,ときどき,時々,sometimes,3
190,よく,,often; much,3
191,そうですね,,That's right.; Let me see.,3
192,でも,,but,3
193,どうですか,,How about...?; How is...?,3
194,アルバイト,,part-time job,4
195,かいもの,買い物,shopping,4
196,クラス,,class,4
197,あなた,,you,4
198,いぬ,犬,dog,4
199,おみやげ,お土産,souvenir,4
200,こども,子供,child,4
201,ごはん,御飯,rice; meal,4
202,しゃしん,写真,picture; photograph,4
203,つくえ,机,desk,4
204,てがみ,手紙,letter,4
205,ねこ,猫,cat,4
206,パン,,bread,4
207,ひと,人,person,4
208,おてら,お寺,temple,4
209,こうえん,公園,park,4
210,スーパー,,supermarket,4
211,デパート,,department store,4
212,バスてい,バス停,bus stop,4
213,びょういん,病院,hospital,4
214,ホテル,,hotel,4
215,ほんや,本屋,bookstore,4
216,まち,町,town; city,4
217,レストラン,,restaurant,4
218,きのう,昨日,yesterday,4
219,さっき,,a little while ago,4
220,〜じかん,〜時間,hour,4
221,いちじかん,一時間,one hour,4
222,せんしゅう,先週,last week,4
223,とき,時,when...; at the time of...,4
224,かようび,火曜日,Tuesday,4
225,すいようび,水曜日,Wednesday,4
226,もくようび,木曜日,Thursday,4
227,きんようび,金曜日,Friday,4
228,あう,会う,to meet; to see (a person),4
229,ある,,there is ...,4
230,かう,買う,to buy,4
231,かく,書く,to write,4
232,とる,撮る,to take (pictures),4
233,まつ,待つ,to wait,4
234,わかる,,to understand,4
235,いる,,(a person) is in ...; stays at ...,4
236,〜ぐらい,,about (approximate measurement),4
237,ごめんなさい,,I'm sorry.,4
238,だから,,so; therefore,4
239,たくさん,,many; a lot,4
240,〜と,,together with (a person),4
241,どうして,,why,4
242,ひとりで,一人で,alone,4
243,もしもし,,Hello? (used on the phone),4
244,みぎ,右,right,4
245,ひだり,左,left,4
246,まえ,前,front,4
247,うしろ,後ろ,back,4
248,なか,中,inside,4
249,うえ,上,on,4
250,した,下,under,4
251,そば,,near,4
252,となり,隣,next,4
253,あいだ,間,between,4
254,そこ,,there,4
255,ここ,,here,4
256,げつようび,月曜日,Monday,4
257,うみ,海,sea,5
258,きって,切手,postal stamps,5
259,きっぷ,切符,ticket,5
260,サーフィン,,surfing,5
261,しゅくだい,宿題,homework,5
262,たべもの,食べ物,food,5
263,たんじょうび,誕生日,birthday,5
264,テスト,,test,5
265,てんき,天気,weather,5
266,のみもの,飲み物,drink,5
267,はがき,葉書,postcard,5
268,バス,,bus,5
269,ひこうき,飛行機,airplane,5
270,へや,部屋,room,5
271,ぼく,僕,I (used by men),5
272,やすみ,休み,holiday; day off; absence,5
273,りょこう,旅行,travel,5
274,あたらしい,新しい,new,5
275,あつい,暑い,hot (weather),5
276,あつい,熱い,hot (objects),5
277,いそがしい,忙しい,busy (people/days),5
278,おおきい,大きい,large,5
279,おもしろい,面白い,interesting,5
280,こわい,怖い,frightening,5
281,さむい,寒い,cold (weather-not used for objects),5
282,たのしい,楽しい,fun,5
283,ちいさい,小さい,small,5
284,つまらない,,boring,5
285,ふるい,古い,old (thing - not used for people),5
286,むずかしい,難しい,difficult,5
287,やさしい,,easy (problem); kind (person),5
288,やすい,安い,inexpensive; cheap (thing),5
289,きらい（な）,嫌い,disgusted with; to dislike,5
290,きれい（な）,,beautiful; clean,5
